kcet,college
44.48,"Swaminarayan Siddhanta Institute Of Technology, Nagpur"
43.84,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali"
43.75,"Vidya Niketan College of Engineering, Bota Sangamner"
43.42,"Vilasrao Deshmukh Foundation Group of Institutions, Latur"
41.915,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
41.3993202,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur"
40.6975797,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,"
40.47,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
40.288,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"
40.288,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati"
40.159,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad"
40.15,"Peoples Education Society's College of Engineering, Aurangabad"
39.66,"Bharat College of Engineering, Kanhor, Badlapur(W)"
39.44,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
38.26,"Sanghavi College of Engineering, Varvandi, Nashik."
37.47,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur"
36.8261928,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
36.826,"Terna Public Charitable Trust's College of Engineering, Osmanabad"
35.7,"Hi-Tech Institute of Technology, Aurangabad"
35.09,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
34.973,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
34.75,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
34.3312532,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur,"
33.33,"P.K. Technical Campus, Pune."
33.2795222,"Godavari Foundation's Godavari College Of Engineering, Jalgaon"
31.53,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
31.53,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
31.3,"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"
29.93,Shree Siddheshwar Women's College Of Engineering Solapur.
29.87,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"
29.48,"Aditya Engineering College , Beed"
29.48,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded"
28.541,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana"
28.2128596,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
28.21,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar"
28.167,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
28.16,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
27.0039,"Fabtech Technical Campus College of Engineering and Research, Sangola"
25.22,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
24.974,"Shree Tuljabhavani College of Engineering, Tuljapur"
24.974,"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval"
24.97,"Indala College Of Engineering, Bapsai Tal.Kalyan"
24.0395,"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur"
24.03,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
23.089774,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
22.05,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
21.6,Navsahyadri Education Society's Group of Institutions
20.2276213,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
20.22,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
20.03,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat"
20.03,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshw"
18.88,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
18.47,"Bhagwant Institute of Technology, Barshi"
17.5649734,"Sanmati Engineering College, Sawargaon Barde, Washim"
17.4008617,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon"
16.91,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
16.866,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shaha"
